2020/04/12;04:51:18pm;::1;Mohamed;connexion 
2020/04/12;04:52:01pm;::1;Mohamed;Verification de l'equipement ;192.168.1.2 ;up
2020/04/12;04:52:07pm;::1;Mohamed;deconnecte(e) 
2020/04/15;06:59:20pm;::1;Mohamed;connexion 
2020/04/15;06:59:58pm;::1;Mohamed;deconnecte(e) 
2020/04/15;07:08:24pm;::1;Mohamed;connexion 
2020/04/15;07:08:28pm;::1;Mohamed;deconnecte(e) 
2020/04/15;07:11:16pm;::1;Mohamed;connexion 
2020/04/15;07:11:19pm;::1;Mohamed;deconnecte(e) 
2020/04/15;07:21:49pm;::1;Mohamed;connexion 
2020/04/15;07:22:47pm;::1;Mohamed;deconnecte(e) 
2020/04/15;08:17:53pm;::1;Mohamed;connexion 
2020/04/15;08:25:07pm;::1;Mohamed;deconnecte(e) 
2020/04/15;08:34:21pm;::1;Mohamed;connexion 
2020/04/15;08:36:09pm;::1;Mohamed;deconnecte(e) 
2020/04/16;02:20:04pm;::1;Mohamed;connexion 
2020/04/16;04:14:38pm;::1;Mohamed;deconnecte(e) 
2020/04/16;07:38:41pm;::1;Mohamed;connexion 
2020/04/16;07:58:50pm;::1;Mohamed;deconnecte(e) 
2020/04/16;08:11:28pm;::1;Mohamed;connexion 
2020/04/16;08:13:26pm;::1;Mohamed;Verification de l'equipement ;192.168.1.2 ;up
2020/04/16;08:13:50pm;::1;Mohamed;Verification de l'equipement ;122.168.1.9 ;down
2020/04/16;08:37:03pm;::1;Mohamed;deconnecte(e) 
2020/04/26;03:37:31pm;::1;Mohamed;connexion 
2020/04/26;03:37:52pm;::1;Mohamed;deconnecte(e) 
2020/05/30;12:50:04pm;::1;Mohamed;connexion 
2020/05/30;12:50:29pm;::1;Mohamed;deconnecte(e) 
2020/06/21;10:08:15am;::1;Mohamed;connexion 
2020/06/21;10:08:45am;::1;Mohamed;deconnecte(e) 
2020/06/21;09:18:22pm;::1;Mohamed;connexion 
2020/06/21;09:18:28pm;::1;Mohamed;deconnecte(e) 
2020/07/01;02:47:37pm;::1;Mohamed;connexion 
2020/07/01;02:47:48pm;::1;Mohamed;deconnecte(e) 
2020/07/04;03:42:14pm;::1;Mohamed;connexion 
2020/07/04;04:06:17pm;::1;Mohamed;deconnecte(e) 
2020/07/05;09:26:47pm;::1;Mohamed;connexion 
2020/07/05;09:28:42pm;::1;Mohamed;deconnecte(e) 
